顧客番号,契約年月日,年齢,性別,出身地,購入年月日,購買金額
C1582,20210725,34,2,近畿,20250227,16326.0
C1987,20231011,42,2,関東,20251210,-403.0
C0193,20220106,43,1,中国,20250205,32304.0
C1919,20210224,71,1,九州,20250125,25788.0
C0058,20240206,76,1,北海道,20250203,44477.0
C1461,20211018,52,1,北海道,20250520,37725.0
C1135,20200604,61,1,四国,20251002,31930.0
C0129,20220517,56,2,九州,20251228,28071.0
C1873,20201116,66,1,四国,20250810,67.0
C0706,20200127,53,1,近畿,20250206,24.0
C1949,20201116,52,2,近畿,20251229,2715.0
C0852,20220802,48,2,近畿,20250509,26770.0
C1350,20210321,31,1,北海道,20251112,6226.0
C0008,20221228,48,1,四国,20251119,30399.0
C0029,20200802,27,2,近畿,20250806,8412.0
C1136,20240205,51,1,北海道,20251201,42805.0
C0947,20200208,40,1,中部,20250905,39415.0
C1697,20200430,25,1,北海道,20250421,7569.0
C0131,20210217,22,2,中部,20251031,-2631.0
C0188,20240212,63,1,関東,20250808,39427.0
C1699,20220904,57,1,中部,20250715,27021.0
C0709,20201025,59,2,四国,20250527,-4472.0
C1499,20200525,49,1,北海道,20251210,38270.0
C1388,20210517,49,2,中国,20250209,25314.0
C1228,20200814,40,2,東北,20250514,32443.0
C0212,20240731,76,1,九州,20251218,13047.0
C1645,20200907,70,1,東北,20250710,14748.0
C0276,20220524,62,2,東北,20250612,30109.0
C1097,20230224,45,2,中国,20250302,8919.0
C1703,20220222,61,1,九州,20250105,42498.0
C1796,20231221,48,2,関東,20250206,NaN
C0243,20210702,42,2,中部,20250805,-95.0
C1811,20210316,52,2,東北,20250813,43307.0
C1126,20201123,53,2,近畿,20250804,43023.0
C0987,20220917,38,2,近畿,20250519,3884.0
C0685,20240907,54,1,近畿,20250416,23906.0
C0171,20200313,28,2,北海道,20250409,36911.0
C0653,20220621,61,1,九州,20250617,950.0
C1933,20240206,22,1,東北,20250921,-3640.0
C0188,20240212,63,1,関東,20250328,32895.0
C1465,20210812,39,1,関東,20250325,16946.0
C1110,20220726,33,1,九州,20250812,42020.0
C1500,20231112,53,1,関東,20250111,3730.0
C0052,20240512,48,2,東北,20251123,17161.0
C0111,20210522,69,2,東北,20250705,22738.0
C1973,20241017,39,1,中国,20251216,-1075.0
C0877,20220812,49,2,関東,20250819,3463.0
C1878,20231110,69,2,九州,20250521,12412.0
C1067,20240724,56,1,中国,20250416,17402.0
C0211,20240306,78,1,関東,20250910,29010.0
C1992,20200612,62,1,中部,20250218,20717.0
C1224,20210513,55,1,中部,20250920,36552.0
C1834,20210422,20,1,近畿,20250724,4797.0
C0858,20230319,61,1,中国,20251223,15594.0
C1776,20230827,26,2,中国,20250220,1406.0
C0627,20230416,77,1,近畿,20250624,47529.0
C1050,20201105,33,1,九州,20250813,8965.0
C1943,20241027,43,2,北海道,20250918,8733.0
C0299,20210330,76,1,北海道,20250810,48223.0
C1101,20220131,32,1,東北,20250811,21926.0
C0924,20200219,58,1,中部,20250926,23783.0
C0137,20221227,31,1,九州,20251025,12824.0
C1044,20220905,44,1,北海道,20251114,31394.0
C0440,20201021,61,1,九州,20250315,37842.0
C0211,20240306,78,1,関東,20250424,23287.0
C0752,20230516,56,1,北海道,20250807,11568.0
C1575,20240121,60,2,近畿,20250223,25436.0
C0435,20231227,28,2,北海道,20250719,16380.0
C0780,20230831,46,1,北海道,20250511,19796.0
C1231,20220505,25,1,近畿,20251205,3031.0
C0439,20220713,79,1,中部,20250711,16947.0
C1998,20210424,75,1,関東,20250628,-1812.0
C1803,20220420,21,1,関東,20251101,20669.0
C0666,20201205,27,1,北海道,20251014,30713.0
C1066,20231206,27,1,中国,20250828,26813.0
C0411,20240526,40,1,中部,20250902,1765.0
C1547,20210304,38,2,北海道,20251126,46626.0
C0806,20230928,61,2,中部,20250427,18171.0
C0610,20210907,79,2,中部,20250727,5807.0
C0427,20240302,28,1,中国,20250731,5204.0
C1299,20220312,44,1,中部,20250916,22066.0
C1472,20200312,79,2,九州,20250612,37120.0
C0902,20201231,42,2,東北,20250814,32367.0
C0942,20230121,23,1,関東,20251207,17658.0
C1908,20220216,74,1,四国,20250305,32081.0
C0742,20231227,71,2,九州,20250903,29986.0
C1393,20230614,31,2,北海道,20250118,8786.0
C1962,20210607,48,1,関東,20250203,24283.0
C1244,20221117,59,1,近畿,20251108,45304.0
C1601,20231218,22,2,中部,20251119,-4944.0
C1891,20200112,23,2,東北,20250630,40301.0
C1256,20200227,20,2,近畿,20251213,27911.0
C0328,20210913,56,1,四国,20250713,34986.0
C1467,20220212,24,2,関東,20250711,3559.0
C0052,20240512,48,2,東北,20250308,21058.0
C1910,20201024,78,1,四国,20250728,17745.0
C1967,20220520,38,1,四国,20250616,-4385.0
C0376,20210911,44,2,中国,20250903,3062.0
C0263,20240402,43,1,東北,20250902,23214.0
C0267,20230308,77,2,北海道,20250615,39288.0
C0359,20230616,58,1,関東,20251023,33745.0
C1341,20211031,26,1,中国,20250730,39187.0
C1348,20241015,52,1,東北,20250513,37548.0
C1945,20220226,79,1,九州,20250716,5681.0
C1932,20230329,68,2,中国,20251213,1984.0
C1690,20210517,64,2,東北,20250218,22579.0
C1894,20220305,65,1,近畿,20250305,20274.0
C1902,20240607,28,1,関東,20250422,32739.0
C0652,20220517,68,2,中部,20251222,49933.0
C1963,20210904,37,2,関東,20250704,22399.0
C1587,20211024,75,1,九州,20250414,26481.0
C1653,20221228,28,2,関東,20250801,-4056.0
C1445,20211124,56,1,九州,20250105,23457.0
C0046,20240516,25,2,北海道,20250429,4114.0
C1845,20200705,51,2,東北,20251210,34846.0
C0600,20240516,49,2,関東,20250906,13130.0
C0720,20201216,38,2,東北,20250616,7312.0
C1913,20220424,20,2,北海道,20250830,27596.0
C1293,20210416,67,2,中国,20251007,33551.0
C0601,20220726,58,1,中国,20251229,4751.0
C0381,20201015,27,2,九州,20250826,1907.0
C0118,20200922,61,2,九州,20251102,23114.0
C1590,20240715,53,2,九州,20250724,20009.0
C1977,20201127,72,1,九州,20251110,14310.0
C0116,20210817,79,2,中国,20250101,45241.0
C1654,20221206,27,1,中部,20250620,30725.0
C0260,20240421,76,1,中部,20250616,13996.0
C1099,20220204,43,2,東北,20250915,1047.0
C1504,20240125,77,1,東北,20250304,34017.0
C0305,20220313,42,2,関東,20250929,23767.0
C0007,20220425,25,1,中国,20250206,11347.0
C0366,20210509,47,1,中国,20250116,31527.0
C1658,20200130,35,1,関東,20250911,19102.0
C0523,20210710,25,2,九州,20251209,-737.0
C1372,20210415,58,1,四国,20251212,38049.0
C1462,20200614,24,1,東北,20251202,-3098.0
C1239,20211029,48,1,四国,20250127,25823.0
C0429,20220127,49,1,近畿,20250421,25540.0
C0791,20221103,18,2,中国,20250821,30335.0
C1522,20210307,46,1,東北,20250305,5190.0
C1564,20241204,22,2,関東,20250407,35843.0
C0747,20241126,73,1,関東,20250924,22690.0
C0367,20240705,54,2,中国,20251122,-2006.0
C0313,20201107,24,2,関東,20250820,32997.0
C0538,20211005,55,1,中部,20250217,-2990.0
C0921,20241230,80,1,中国,20251216,2377.0
C1078,20200312,53,1,中部,20250729,8036.0
C1565,20210805,49,1,四国,20250317,21467.0
C1491,20221025,43,1,中国,20250904,44982.0
C0865,20241010,33,2,東北,20251112,-4952.0
C1188,20200519,53,1,九州,20250309,31978.0
C0782,20240505,29,1,中国,20251109,45330.0
C0334,20200406,30,1,中国,20250305,49920.0
C1571,20230222,30,2,中国,20250701,42606.0
C0798,20211124,54,1,近畿,20250321,11038.0
C0348,20231220,51,2,四国,20251209,27576.0
C0273,20200912,34,2,中部,20250722,2878.0
C0963,20240203,32,2,九州,20250701,22609.0
C0720,20201216,38,2,東北,20250802,44222.0
C1774,20200613,65,2,中国,20250430,43115.0
C1438,20210705,50,1,東北,20250829,19070.0
C0500,20230609,31,2,近畿,20251201,35647.0
C1117,20210425,41,1,中国,20250721,49607.0
C0685,20240907,54,1,近畿,20251019,16996.0
C0079,20240102,32,1,近畿,20250223,49921.0
C0622,20230515,43,2,近畿,20250525,13161.0
C1241,20221026,74,1,近畿,20251222,41022.0
C0947,20200208,40,1,中部,20250327,35148.0
C0358,20230801,27,2,関東,20250122,-2772.0
C0618,20211216,21,2,中部,20251127,21365.0
C0507,20240729,26,2,北海道,20251019,20188.0
C1583,20240621,22,1,九州,20250824,37582.0
C1205,20200518,44,1,北海道,20250129,3888.0
C0576,20240923,19,2,北海道,20250702,18130.0
C1270,20231010,18,2,北海道,20250609,34159.0
C0244,20211010,51,1,東北,20250118,37197.0
C0506,20241025,53,1,中部,20250207,13790.0
C0422,20200623,56,2,九州,20250411,19824.0
C1344,20220911,52,1,中国,20251017,28405.0
C1111,20240707,66,1,四国,20250622,19474.0
C0217,20230402,79,2,四国,20251209,12333.0
C1514,20220120,51,1,近畿,20250308,37864.0
C1543,20241009,67,2,四国,20250710,31355.0
C1302,20220708,18,2,近畿,20250212,28879.0
C1873,20201116,66,1,四国,20250503,3367.0
C1746,20200330,54,2,近畿,20251005,-4278.0
C1009,20240328,40,2,,20251209,26145.0
C1193,20220810,76,1,九州,20250715,47994.0
C0330,20231017,35,2,中部,20251129,47826.0
C0650,20241209,72,1,関東,20250505,32634.0
C1465,20210812,39,1,関東,20250406,5139.0
C0391,20240731,64,1,中国,20250606,44854.0
C1520,20240825,52,1,東北,20250209,-2872.0
C0381,20201015,27,2,九州,20251226,36886.0
C1330,20200519,47,1,中国,20250622,15617.0
C0742,20231227,71,2,九州,20250622,NaN
C0820,20240805,80,1,四国,20250430,30285.0
C0673,20210728,32,2,中国,20250930,12533.0
C0513,20201018,39,1,中部,20251224,27624.0
C1772,20221110,19,1,近畿,20251230,41996.0
C0949,20221208,62,2,中国,20251212,41947.0
C1212,20210520,20,2,中部,20251115,22956.0
C0930,20220221,30,1,中部,20250918,46030.0
C1540,20241109,46,1,近畿,20251008,37443.0
C0913,20231005,22,1,中国,20251125,28077.0
C0644,20230226,53,1,中国,20250504,-1048.0
C0427,20240302,28,1,中国,20251005,47201.0
C0502,20210310,34,1,九州,,49918.0
C0730,20210513,59,2,中部,20250204,41639.0
C1284,20220618,29,1,東北,20251107,37460.0
C1537,20210201,19,1,北海道,20250508,17796.0
C0071,20200726,54,2,東北,20250120,26746.0
C0478,20240609,46,2,中部,20250918,16249.0
C1202,20221201,77,2,近畿,20250616,-4985.0
C0457,20241111,75,2,中部,20251115,44757.0
C0189,20231230,27,1,関東,20250824,20957.0
C0291,20230926,23,1,東北,20250201,11005.0
C1544,20220101,75,1,中部,20250819,16292.0
C1789,20220807,51,1,四国,20250710,26876.0
C0920,20210723,23,2,関東,20251126,42046.0
C0292,20221004,41,1,東北,20250525,9817.0
C1970,20210913,61,1,四国,20250411,20470.0
C0756,20201204,42,2,九州,20250320,4759.0
C1659,20201007,72,1,関東,20250609,43432.0
C1835,20230328,41,2,九州,20250912,1412.0
C1307,20230729,40,2,九州,20251006,15504.0
C1568,20210105,40,2,中国,20250707,37964.0
C1870,20230602,53,2,中部,20250729,3507.0
C0377,20221107,34,2,関東,20250829,16050.0
C1682,20200408,75,2,中部,20250225,-180.0
C1180,20221021,49,1,四国,20250517,2835.0
C0508,20210617,55,1,近畿,20250416,22631.0
C1437,20201004,77,2,中部,20250310,29617.0
C0528,20241104,63,2,北海道,20250709,8587.0
C1379,20240813,38,2,中国,20250711,29721.0
C0559,20211219,57,2,北海道,20251005,46921.0
C1787,20230315,31,2,九州,20250201,40499.0
C1211,20210219,67,1,東北,20250624,47198.0
C1055,20220424,19,1,北海道,20250915,1840.0
C0260,20240421,76,1,中部,20250503,32834.0
C0421,20201125,58,2,北海道,20250326,26440.0
C1553,20220209,76,1,九州,20250804,30183.0
C1575,20240121,60,2,近畿,20250804,25636.0
C0304,20240606,62,2,四国,20250114,-2611.0
C0942,20230121,23,1,関東,20250206,43979.0
C1968,20201006,47,2,中部,20250127,-4237.0
C1063,20200222,24,1,四国,20250601,18925.0
C1513,20240223,21,1,中国,20250305,21549.0
C1668,20240222,67,1,中部,20250311,44967.0
C0542,20230219,39,2,九州,20250603,34023.0
C1694,20240518,79,1,東北,20250910,45029.0
C1302,20220708,18,2,近畿,20250928,34941.0
C1227,20230610,51,1,北海道,20250129,18457.0
C1090,20220406,76,2,九州,20250315,48950.0
C0108,20240106,76,2,四国,20251011,16423.0
C0268,20240917,65,2,近畿,20250228,5518.0
C0222,20240905,52,1,四国,20250831,38020.0
C1828,20210909,34,2,四国,20251125,27360.0
C1554,20220127,39,2,九州,,40215.0
C1114,20211217,54,1,中国,20250110,42857.0
C0693,20241125,67,1,東北,20250512,23173.0
C0255,20211110,41,1,中国,20250303,4395.0
C1479,20210218,55,2,北海道,20250919,39835.0
C0253,20230426,76,2,北海道,20250806,14207.0
C0257,20240707,32,1,中国,20250820,33055.0
C0383,20211221,18,2,中国,20251202,47437.0
C0442,20220505,45,2,北海道,20250313,41229.0
C1882,20230205,76,2,北海道,20250116,21639.0
C0599,20240202,48,2,九州,20250207,41170.0
C1114,20211217,54,1,中国,20250626,23924.0
C1773,20200304,58,1,四国,20251117,2433.0
C0390,20210925,31,1,関東,20250324,25104.0
C0582,20230712,67,1,中国,20250117,39052.0
C1068,20230614,30,1,九州,20250605,32594.0
C1736,20200520,80,2,四国,20250621,-1336.0
C1688,20211115,29,1,北海道,20250311,5528.0
C0598,20241115,56,1,近畿,20250312,23190.0
C0019,20240113,42,2,近畿,20250912,-4503.0
C1125,20240905,36,2,中国,20250511,2641.0
C1938,20230101,38,2,関東,20250218,-357.0
C0607,20200223,45,1,近畿,20250121,56.0
C1790,20221119,70,2,中国,20251116,27899.0
C1381,20240424,21,2,東北,20250808,443.0
C1566,20240307,61,1,四国,20250706,12241.0
C1785,20200811,34,1,北海道,20250201,41211.0
C1962,20210607,48,1,関東,20250722,3712.0
C0033,20200507,40,2,四国,20251003,3221.0
C1994,20240402,73,1,,20250830,26346.0
C1253,20200625,29,2,北海道,20250116,10660.0
C1548,20220507,45,1,九州,20251112,33915.0
C1654,20221206,27,1,中部,20250622,6588.0
C0862,20201022,79,1,関東,20250517,32372.0
C0155,20220421,41,1,近畿,20250628,37220.0
C1447,20210208,69,2,中部,20251225,12942.0
C0905,20241101,50,1,四国,20250302,44167.0
C1270,20231010,18,2,北海道,20250414,31373.0
C0405,20230224,64,2,中部,20251113,41052.0
C0844,20211004,60,1,中部,20250714,-3393.0
C1783,20230402,71,2,中国,20250913,39477.0
C1565,20210805,49,1,四国,20250317,-2984.0
C1185,20230712,57,2,近畿,20250928,-1426.0
C0747,20241126,73,1,関東,20250630,41309.0
C1726,20220406,41,2,四国,20250512,2274.0
C1141,20220127,39,2,東北,20250531,37703.0
C0271,20220210,22,2,中国,20250604,10748.0
C0770,20221207,40,1,中部,20251225,15175.0
C1716,20200826,46,2,四国,20250823,34174.0
C1511,20200119,43,1,東北,20250905,6826.0
C1909,20210319,69,2,近畿,20250614,12472.0
C0172,20220703,79,1,四国,20250724,29129.0
C1974,20211104,45,2,関東,20250614,-527.0
C0274,20200514,67,2,中部,20250801,49446.0
C0259,20240630,25,2,中部,20250911,18490.0
C1159,20240509,52,2,中国,20250606,35087.0
C1707,20210427,39,1,中部,20250626,36435.0
C1746,20200330,54,2,近畿,20250316,4481.0
C1772,20221110,19,1,近畿,20250627,3520.0
C0422,20200623,56,2,九州,20251011,21415.0
C1445,20211124,56,1,九州,20251126,12570.0
C1210,20240213,25,1,関東,20250513,14798.0
C1953,20231202,53,1,九州,20250505,49638.0
C0364,20240430,77,2,九州,20251108,-1464.0
C1979,20240117,31,1,中国,20251116,-3227.0
C1631,20220128,75,1,関東,20250507,24894.0
C0378,20240617,29,1,中部,20251211,38023.0
C1547,20210304,38,2,北海道,20250813,49567.0
C0580,20210805,63,2,関東,20250117,30326.0
C0891,20230611,67,1,中部,20251219,79.0
C0722,20231124,50,1,関東,20251107,20838.0
C1220,20220803,19,1,北海道,20250903,16804.0
C0881,20200603,39,1,北海道,20250517,42109.0
C1122,20241020,27,1,北海道,20250805,14675.0
C0605,20230716,25,1,四国,20250715,20594.0
C0022,20210327,76,1,中部,20250720,37749.0
C1474,20211016,19,2,四国,20250726,31292.0
C1196,20240817,56,1,北海道,20250116,47656.0
C0383,20211221,18,2,中国,20250113,3998.0
C0134,20240112,66,1,,20250319,8697.0
C1450,20200122,53,2,四国,20250802,46818.0
C1049,20240618,25,1,近畿,20251207,41374.0
C0503,20210118,79,1,近畿,20251125,8429.0
C1209,20200929,55,1,北海道,20250429,43807.0
C1109,20210930,41,2,関東,20250630,2140.0
C1591,20210508,28,2,中国,20251120,36553.0
C1787,20230315,31,2,九州,20251126,9901.0
C0144,20231214,54,2,中部,20251221,18279.0
C1887,20230409,71,2,近畿,20250517,23525.0
C1934,20240612,46,1,近畿,20250628,15491.0
C1703,20220222,61,1,九州,20250727,-1720.0
C1436,20240102,33,2,四国,20250223,29980.0
C0224,20220519,30,2,近畿,20250320,42981.0
C0220,20210811,20,1,四国,20250928,24989.0
C0179,20200618,76,1,中部,20250428,3078.0
C1655,20220602,32,2,中部,20250416,21118.0
C0433,20200723,37,1,中国,20250415,18985.0
C0265,20240812,23,1,中部,20251030,43704.0
C0954,20200410,71,2,中国,20250428,11997.0
C0429,20220127,49,1,近畿,20250817,9274.0
C1686,20210208,56,1,関東,20250528,-4132.0
C0416,20230805,46,1,近畿,20251220,44963.0
C1477,20200925,38,1,関東,20250530,21398.0
C0727,20210403,65,1,中国,20251031,11042.0
C0197,20220801,20,2,四国,20250913,26820.0
C1578,20220531,68,2,東北,20250323,43175.0
C1077,20200903,73,2,中国,20250116,16246.0
C0480,20210228,25,2,北海道,20250712,15561.0
C1467,20220212,24,2,関東,20250730,11254.0
C1354,20241123,42,2,北海道,20250315,29512.0
C1275,20200728,23,1,九州,20251004,30024.0
C1831,20210802,21,2,中国,20250302,18996.0
C0890,20200730,47,1,関東,20250124,23618.0
C1807,20210804,37,2,北海道,20250123,6859.0
C1991,20220729,26,2,九州,20251209,18580.0
C0925,20231013,42,1,中国,20250915,423.0
C0123,20220804,64,2,中部,20250717,32857.0
C1903,20240828,56,1,北海道,20250222,1608.0
C1411,20241207,36,2,関東,20250519,37485.0
C1363,20220910,18,1,東北,20250928,45621.0
C0778,20240928,33,2,中国,20250720,46827.0
C0348,20231220,51,2,四国,20250613,45665.0
C0029,20200802,27,2,近畿,20250402,-124.0
C0975,20230713,55,2,四国,20250123,45603.0
C0035,20220129,38,2,近畿,20250329,16038.0
C1542,20200705,27,1,関東,20250701,23006.0
C1420,20240101,48,1,九州,20251221,30775.0
C0623,20230921,80,1,東北,20251010,25810.0
C1318,20200927,77,2,九州,,9325.0
C0589,20211227,57,2,北海道,20250218,30892.0
C1373,20200331,23,2,北海道,20250709,-3247.0
C1171,20210415,56,2,東北,20250724,24531.0
C1091,20241227,30,2,北海道,20250213,12996.0
C0904,20210114,21,1,近畿,20251027,-1725.0
C0520,20200322,28,2,中国,20250508,3747.0
C0122,20211023,61,1,中国,20250708,40211.0
C0340,20221007,30,2,近畿,20250619,46201.0
C0175,20241213,42,2,中国,20251006,-4176.0
C1924,20200703,62,1,関東,20250720,8880.0
C1715,20210306,19,2,四国,20250505,38809.0
C0597,20240217,26,1,四国,20251019,47182.0
C0451,20221027,36,2,九州,20251107,-3919.0
C0557,20201112,50,2,中部,20250116,6517.0
C1160,20220428,24,2,四国,20251211,16683.0
C1879,20240629,66,2,四国,20251001,11876.0
C1040,20220526,65,1,四国,20251021,32532.0
C1357,20220527,78,2,中部,20250120,3266.0
C1219,20201207,23,1,関東,20250119,6183.0
C1520,20240825,52,1,東北,20250113,47512.0
C0009,20200427,38,1,四国,20250117,16066.0
C1852,20200116,36,1,東北,20250725,44480.0
C0334,20200406,30,1,中国,20250130,7877.0
C1357,20220527,78,2,中部,20251026,4982.0
C1017,20220907,38,2,九州,20251031,3968.0
C0327,20240420,47,1,九州,20250212,21598.0
C0015,20240221,23,2,九州,20250403,9639.0
C0839,20230812,37,2,近畿,20250307,-326.0
C1638,20230901,53,1,東北,20250429,-684.0
C0226,20221011,78,2,近畿,20251105,43082.0
C1449,20230517,69,2,関東,20250313,4695.0
C1814,20230804,55,1,中国,20251130,43582.0
C1432,20240506,63,1,中部,20250611,26094.0
C0113,20210216,79,2,中部,20251126,17187.0
C1452,20210902,55,1,中部,20251124,47477.0
C0001,20200519,64,1,近畿,20250926,36147.0
C0266,20210526,54,2,中部,20250806,-3786.0
C1515,20220930,69,2,中国,20250911,18940.0
C1232,20220327,39,2,北海道,20250228,39406.0
C1646,20230610,49,1,関東,20250201,20685.0
C1736,20200520,80,2,四国,20251205,38481.0
C0952,20221102,41,2,東北,20250430,10977.0
C1393,20230614,31,2,北海道,20251106,39839.0
C0306,20220821,70,1,関東,20250102,30904.0
C0012,20221122,54,1,九州,20250428,20538.0
C1369,20230209,69,1,四国,20250206,34386.0
C1489,20230525,30,1,四国,20250407,33033.0
C1724,20211003,68,2,東北,20251225,2965.0
C1690,20210517,64,2,東北,20250914,4597.0
C1518,20210222,35,1,中国,20250508,36476.0
C1392,20200105,48,2,近畿,20251225,22740.0
C1870,20230602,53,2,中部,20250605,1569.0
C0937,20200225,55,2,東北,20250525,45643.0
C0420,20200713,30,2,中国,20250226,32981.0
C0889,20200627,27,2,東北,20250311,6881.0
C1815,20210122,38,2,近畿,20250213,31996.0
C0171,20200313,28,2,北海道,20250731,27177.0
C0134,20240112,66,1,四国,20250624,32177.0
C0965,20240723,36,1,関東,20250521,-4410.0
C1451,20211108,77,2,九州,20250317,21119.0
C1049,20240618,25,1,近畿,20250607,47208.0
C1554,20220127,39,2,九州,20250326,46358.0
C1214,20241014,61,2,中部,20251118,22915.0
C1165,20230509,71,1,九州,20251105,-2292.0
C1579,20230505,41,2,北海道,20250118,33749.0
C1870,20230602,53,2,中部,20251011,39989.0
C1820,20240529,27,1,中国,20250211,17106.0
C0658,20220901,39,1,東北,20250514,12131.0
C1339,20240612,69,2,近畿,20250412,41553.0
C1468,20200611,54,2,関東,20250517,NaN
C1343,20200528,38,1,東北,20250810,12881.0
C1465,20210812,39,1,関東,20250817,-3621.0
C1116,20220720,67,1,関東,20251021,20255.0
C0179,20200618,76,1,中部,20251102,35128.0
C1080,20200106,21,1,近畿,20251112,-1230.0
C1179,20231022,59,1,北海道,,14726.0
C1696,20220423,79,2,近畿,,42217.0
C0111,20210522,69,2,東北,20251216,4088.0
C0137,20221227,31,1,九州,20251120,29314.0
C0232,20210504,54,2,四国,20250608,47278.0
C0992,20200629,23,2,九州,20250827,33976.0
C0468,20210219,35,1,中部,20251116,11350.0
C0732,20210522,31,1,東北,20251201,36643.0
C0481,20210513,32,2,東北,20250708,29063.0
C1092,20201214,72,1,四国,20251105,10861.0
C0814,20220706,78,2,東北,20250906,8973.0
C1273,20220306,38,1,九州,20250126,12769.0
C0994,20200813,70,2,関東,20250708,42249.0
C0323,20230827,27,2,北海道,20250520,12326.0
C0922,20220201,26,1,近畿,20250630,31048.0
C0904,20210114,21,1,近畿,20250121,41365.0
C1542,20200705,27,1,関東,20250612,45185.0
C2000,20231124,74,1,関東,20250312,-2214.0
C1816,20221209,71,1,北海道,20250323,30001.0
C1456,20240906,54,1,関東,20250604,-3380.0
C1511,20200119,43,1,東北,20251112,31303.0
C0606,20200923,67,1,中国,20251221,14589.0
C0429,20220127,49,1,近畿,20250216,-2118.0
C1293,20210416,67,2,中国,20250713,44322.0
C1733,20220926,50,1,九州,20250812,19524.0
